site,estimate,agegroup,stage,sex,race,tt,PE,lci,uci,n_black
Breast,Model fit,75+,Distant,Female,Black,2.450000047683716,0.3620750390913541,0.3144171858044978,0.4169566418501102,
Breast,Model fit,75+,Distant,Female,Black,2.5,0.3573600702034371,0.3097107298482146,0.4123403145844923,
Breast,Model fit,75+,Distant,Female,Black,2.549999952316284,0.3526868048265241,0.3050449168102103,0.4077693986821394,
Breast,Model fit,75+,Distant,Female,Black,2.599999904632568,0.3480636461535858,0.300427948468719,0.4032524350388217,
Breast,Model fit,75+,Distant,Female,Black,2.650000095367432,0.3434979860747088,0.2958670432296244,0.3987969229334116,
Breast,Model fit,75+,Distant,Female,Black,2.700000047683716,0.3389963873465369,0.2913686177848868,0.3944094992373061,
Breast,Model fit,75+,Distant,Female,Black,2.75,0.3345645382979161,0.286938240248834,0.3900958972545057,
Breast,Model fit,75+,Distant,Female,Black,2.799999952316284,0.3302074169237933,0.2825807911948144,0.385861111544247,
Breast,Model fit,75+,Distant,Female,Black,2.849999904632568,0.3259293380865977,0.2783005065222403,0.3817094505254822,
Breast,Model fit,75+,Distant,Female,Black,2.900000095367432,0.3217339961689002,0.2741010166526468,0.3776445835733107,
Breast,Model fit,75+,Distant,Female,Black,2.950000047683716,0.3176246012767209,0.2699854780935997,0.3736696804900765,
Breast,Model fit,75+,Distant,Female,Black,3.0,0.3136038105537787,0.2659565011936936,0.3697873507601338,
Breast,Model fit,75+,Distant,Female,Black,3.049999952316284,0.3096738553389339,0.2620162732486598,0.3659997735692909,
Breast,Model fit,75+,Distant,Female,Black,3.099999904632568,0.3058365635330755,0.258166577498544,0.3623087252425169,
Breast,Model fit,75+,Distant,Female,Black,3.150000095367432,0.3020933808193682,0.254408811282266,0.3587156053082712,
Breast,Model fit,75+,Distant,Female,Black,3.200000047683716,0.2984454770908473,0.2507440902253914,0.3552215436699609,
Breast,Model fit,75+,Distant,Female,Black,3.25,0.2948936411161617,0.2471731415845071,0.3518273021626651,
Breast,Model fit,75+,Distant,Female,Black,3.299999952316284,0.2914365795853213,0.2436946719881257,0.3485315424726638,
Breast,Model fit,75+,Distant,Female,Black,3.349999904632568,0.2880701422616433,0.2403046379099127,0.3453300260220248,
Breast,Model fit,75+,Distant,Female,Black,3.400000095367432,0.2847901500024712,0.2369989772057163,0.3422184791457142,
Breast,Model fit,75+,Distant,Female,Black,3.450000047683716,0.2815927035447842,0.233773909275762,0.339192901959492,
Breast,Model fit,75+,Distant,Female,Black,3.5,0.2784740748557371,0.2306258262908035,0.3362494635313573,
Breast,Model fit,75+,Distant,Female,Black,3.549999952316284,0.2754307562817631,0.2275513433287497,0.3333845469606562,
Breast,Model fit,75+,Distant,Female,Black,3.599999904632568,0.2724594318641596,0.2245472686800115,0.3305947226529266,
Breast,Model fit,75+,Distant,Female,Black,3.650000095367432,0.2695569517068531,0.2216105791179496,0.3278767218726403,
Breast,Model fit,75+,Distant,Female,Black,3.700000047683716,0.2667203758794445,0.2187384631214662,0.3252274789448805,
Breast,Model fit,75+,Distant,Female,Black,3.75,0.2639468810352791,0.2159282270476916,0.3226440422393888,
Breast,Model fit,75+,Distant,Female,Black,3.799999952316284,0.2612338064282954,0.213177340940185,0.3201236178293653,
Breast,Model fit,75+,Distant,Female,Black,3.849999904632568,0.2585786309128526,0.2104834155845078,0.3176635469311843,
Breast,Model fit,75+,Distant,Female,Black,3.900000095367432,0.2559789522861525,0.2078441806422753,0.315261287619561,
