site,estimate,agegroup,stage,sex,race,tt,PE,lci,uci,n_black
Breast,ADa,75+,,Female,,2.0,25.46658278859498,25.3071346282959,25.62603187561035,1745.0
Breast,ADa,75+,,Female,,2.049999952316284,25.52317701377217,25.36400413513184,25.68235015869141,1745.0
Breast,ADa,75+,,Female,,2.099999904632568,25.56514546724952,25.40631103515625,25.72397994995117,1745.0
Breast,ADa,75+,,Female,,2.150000095367432,25.59333244186568,25.43489456176758,25.75177001953125,1745.0
Breast,ADa,75+,,Female,,2.200000047683716,25.60851971374923,25.45053482055664,25.76650428771973,1745.0
Breast,ADa,75+,,Female,,2.25,25.61143205529231,25.45395469665527,25.7689094543457,1745.0
Breast,ADa,75+,,Female,,2.299999952316284,25.60274101980848,25.44582176208496,25.7596607208252,1745.0
Breast,ADa,75+,,Female,,2.349999904632568,25.58306917790861,25.42675590515137,25.73938369750977,1745.0
Breast,ADa,75+,,Female,,2.400000095367432,25.55299043249272,25.39732933044434,25.70865058898926,1745.0
Breast,ADa,75+,,Female,,2.450000047683716,25.5128810521137,25.35791778564453,25.66784477233887,1745.0
Breast,ADa,75+,,Female,,2.5,25.46288985507147,25.30867004394531,25.61711120605469,1745.0
Breast,ADa,75+,,Female,,2.549999952316284,25.40317746957848,25.2497444152832,25.55661010742188,1745.0
Breast,ADa,75+,,Female,,2.599999904632568,25.3339314800595,25.18132972717285,25.48653411865234,1745.0
Breast,ADa,75+,,Female,,2.650000095367432,25.25536235369322,25.10363388061523,25.40708923339844,1745.0
Breast,ADa,75+,,Female,,2.700000047683716,25.16770163924741,25.01689147949219,25.31851196289063,1745.0
Breast,ADa,75+,,Female,,2.75,25.07119667812691,24.92134475708008,25.22104835510254,1745.0
Breast,ADa,75+,,Female,,2.799999952316284,24.96610930041112,24.81725692749023,25.11496162414551,1745.0
Breast,ADa,75+,,Female,,2.849999904632568,24.85271297037946,24.70490074157715,25.00052452087402,1745.0
Breast,ADa,75+,,Female,,2.900000095367432,24.7312899237113,24.58455467224121,24.87802505493164,1745.0
Breast,ADa,75+,,Female,,2.950000047683716,24.6021314746404,24.45651054382324,24.74775314331055,1745.0
Breast,ADa,75+,,Female,,3.0,24.46553269305898,24.3210620880127,24.61000442504883,1745.0
Breast,ADa,75+,,Female,,3.049999952316284,24.3130798731317,24.16985130310059,24.45630836486816,1745.0
