sex,race,stage,age_group,count,mean_age,sd_age,denominator,percentage,cancer_site
Male,Black,Localised,2,117,79.63492063492063,3.737470651214115,441,26.53061224489796,Oral_cavity_and_pharynx
Male,Black,Regional,2,257,79.63492063492063,3.737470651214115,441,58.27664399092971,Oral_cavity_and_pharynx
Male,Black,Distant,2,67,79.63492063492063,3.737470651214115,441,15.19274376417234,Oral_cavity_and_pharynx
Female,White,Localised,1,7660,59.07309071024971,11.35168181488837,16459,46.53988699191932,Oral_cavity_and_pharynx
Female,White,Regional,1,7530,59.07309071024971,11.35168181488837,16459,45.75004556777447,Oral_cavity_and_pharynx
Female,White,Distant,1,1269,59.07309071024971,11.35168181488837,16459,7.710067440306216,Oral_cavity_and_pharynx
Female,Black,Localised,1,854,55.69179068650984,12.76263250597556,2083,40.99855976956313,Oral_cavity_and_pharynx
Female,Black,Regional,1,963,55.69179068650984,12.76263250597556,2083,46.23139702352376,Oral_cavity_and_pharynx
Female,Black,Distant,1,266,55.69179068650984,12.76263250597556,2083,12.77004320691311,Oral_cavity_and_pharynx
Female,White,Localised,2,2276,80.38233383849318,4.092075770877155,4619,49.27473479108032,Oral_cavity_and_pharynx
Female,White,Regional,2,1920,80.38233383849318,4.092075770877155,4619,41.56743883957567,Oral_cavity_and_pharynx
Female,White,Distant,2,423,80.38233383849318,4.092075770877155,4619,9.157826369344013,Oral_cavity_and_pharynx
Female,Black,Localised,2,102,80.04942965779468,3.683239019323643,263,38.78326996197718,Oral_cavity_and_pharynx
Female,Black,Regional,2,115,80.04942965779468,3.683239019323643,263,43.72623574144487,Oral_cavity_and_pharynx
Female,Black,Distant,2,46,80.04942965779468,3.683239019323643,263,17.49049429657795,Oral_cavity_and_pharynx
Female,White,Localised,1,7915,55.92803148379053,12.88794831877052,25664,30.84086658354115,Ovary
Female,White,Regional,1,5631,55.92803148379053,12.88794831877052,25664,21.94124064837905,Ovary
Female,White,Distant,1,12118,55.92803148379053,12.88794831877052,25664,47.2178927680798,Ovary
Female,Black,Localised,1,1119,54.26872246696036,13.37420301877484,3405,32.86343612334802,Ovary
Female,Black,Regional,1,652,54.26872246696036,13.37420301877484,3405,19.14831130690161,Ovary
Female,Black,Distant,1,1634,54.26872246696036,13.37420301877484,3405,47.98825256975037,Ovary
Female,White,Localised,2,705,79.92249020820449,3.920468526552339,4851,14.53308596165739,Ovary
