sex,race,cancer_site,age_group,cases,excluded_1,excluded_2,excluded_3,excluded_4,excluded_5,excluded_6,included,denominator_1,denominator_2,denominator_3,denominator_4,denominator_5,denominator_6,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_included
Male,White,Lung_and_bronchus,2,227910,5620,9392,0,12295,1,14266,186336,227910,222290,212898,212898,200603,200602,2.465885656618841,4.225111341040982,0,5.775065994044096,.0004984970314502,7.111594101753721,81.75858891667764
Male,Black,Lung_and_bronchus,2,20800,459,927,0,910,0,1318,17186,20800,20341,19414,19414,18504,18504,2.206730769230769,4.557298067941596,0,4.68733903368703,0,7.122784262862083,82.625
Female,White,Lung_and_bronchus,1,357437,9302,4042,92,0,2,13696,330303,357437,348135,344093,344001,344001,343999,2.60241664964735,1.161043847932555,.0267369577410758,0,.0005813936587394,3.981406922694543,92.40873216818628
Female,Black,Lung_and_bronchus,1,50765,1148,530,23,0,0,1988,47076,50765,49617,49087,49064,49064,49064,2.261400571259726,1.068182276235968,.0468555829445678,0,0,4.051850644056742,92.73318231064709
Female,White,Lung_and_bronchus,2,227996,6828,11184,0,15509,1,15290,179184,227996,221168,209984,209984,194475,194474,2.994789382269865,5.056789408956088,0,7.385800822919841,.0005142049106569,7.862233511934758,78.59085247109599
Female,Black,Lung_and_bronchus,2,20058,473,762,0,1307,1,1185,16330,20058,19585,18823,18823,17516,17515,2.358161332136803,3.890732703599693,0,6.943632789672209,.0057090659968029,6.765629460462461,81.4138996908964
Male,White,Oral_cavity_and_pharynx,1,147725,2861,663,233,0,2,8114,135852,147725,144864,144201,143968,143968,143966,1.936706718564901,.4576706428098078,.1615800167821305,0,.0013891975994665,5.636052956948168,91.96276865797935
Male,Black,Oral_cavity_and_pharynx,1,15905,206,101,84,0,0,829,14685,15905,15699,15598,15514,15514,15514,1.295190191763596,.6433530798140009,.5385305808436979,0,0,5.343560654892356,92.32945614586609
Male,White,Oral_cavity_and_pharynx,2,33643,1120,553,0,2497,1,2790,26682,33643,32523,31970,31970,29473,29472,3.32907291264156,1.700335147434124,0,7.810447294338442,.0033929359074407,9.466612377850163,79.30921737062687
Male,Black,Oral_cavity_and_pharynx,2,1902,29,49,0,91,0,142,1591,1902,1873,1824,1824,1733,1733,1.524710830704522,2.616123865456487,0,4.989035087719299,0,8.193883439122908,83.64879074658255
Female,White,Oral_cavity_and_pharynx,1,51902,1427,165,286,0,2,3223,46799,51902,50475,50310,50024,50024,50022,2.749412354051867,.3268945022288262,.5684754521963824,0,.0039980809211578,6.443165007396745,90.16800893992524
Female,Black,Oral_cavity_and_pharynx,1,7014,104,23,71,0,1,429,6386,7014,6910,6887,6816,6816,6815,1.48274878813801,.3328509406657019,1.030927835051546,0,.0146713615023474,6.294937637564196,91.04647847162816
Female,White,Oral_cavity_and_pharynx,2,22178,1075,498,0,2842,1,1778,15984,22178,21103,20605,20605,17763,17762,4.847145820182162,2.359854049187319,0,13.79276874545013,.0056296796712267,10.0101339939196,72.07142213003877
Female,Black,Oral_cavity_and_pharynx,2,1372,32,34,0,156,0,121,1029,1372,1340,1306,1306,1150,1150,2.332361516034986,2.537313432835821,0,11.94486983154671,0,10.52173913043478,75
Female,White,Ovary,1,100241,245,734,714,0,2,5156,93390,100241,99996,99262,98548,98548,98546,.2444109695633523,.7340293611744469,.719308496705688,0,.0020294678735236,5.232074361212023,93.16547121437337
Female,Black,Ovary,1,12639,34,106,174,0,1,893,11431,12639,12605,12499,12325,12325,12324,.2690086241000079,.8409361364537882,1.392111368909513,0,.0081135902636917,7.246024018175917,90.44228182609385
Female,White,Ovary,2,33590,37,1638,0,3268,0,3102,25545,33590,33553,31915,31915,28647,28647,.1101518309020542,4.881828748547075,0,10.23969920100266,0,10.82835899047021,76.04941947008038
Female,Black,Ovary,2,2903,2,171,0,231,0,316,2183,2903,2901,2730,2730,2499,2499,.0688942473303479,5.894519131334023,0,8.461538461538462,0,12.64505802320928,75.19807096107475
Male,White,Pancreas,1,93895,107,1904,45,0,0,4989,86850,93895,93788,91884,91839,91839,91839,.1139570797167048,2.03011046189278,.0489747943058639,0,0,5.432332669127494,92.49693806911976
Male,Black,Pancreas,1,15173,17,434,8,0,0,836,13878,15173,15156,14722,14714,14714,14714,.1120411256837804,2.863552388493006,.0543404428746094,0,0,5.681663721625663,91.46510248467673
Male,White,Pancreas,2,49127,42,2760,0,3759,0,4434,38132,49127,49085,46325,46325,42566,42566,.085492702587172,5.622899052663747,0,8.114409066378846,0,10.41676455386929,77.61923178700104
Male,Black,Pancreas,2,4346,2,276,0,228,0,396,3444,4346,4344,4068,4068,3840,3840,.0460193281178095,6.353591160220995,0,5.604719764011799,0,10.3125,79.24528301886792
Female,White,Pancreas,1,73009,98,1055,89,0,0,3726,68041,73009,72911,71856,71767,71767,71767,.134230026435097,1.446969593065518,.1238588287686484,0,0,5.191801245697883,93.19535947622896
