site,agegroup,stage,sex,race,estimate_percent,lower_percent,upper_percent
Pancreas,75+,Regional,Male,Black,5.82924485206604,3.877220302820206,8.764035999774933
Pancreas,75+,Distant,Female,White,1.781367138028145,1.395110320299864,2.27456483989954
Pancreas,75+,Localised,Female,White,17.77801811695099,15.82437455654144,19.97285336256027
Pancreas,75+,Regional,Female,White,6.874136626720428,5.942511186003685,7.9518161714077
Pancreas,75+,Distant,Male,White,2.355462871491909,1.888700760900974,2.937577851116657
Pancreas,75+,Localised,Male,White,22.09874242544174,20.04896700382233,24.35808330774307
Pancreas,75+,Regional,Male,White,6.809459626674652,5.911221355199814,7.844189554452896
Pancreas,<75,Distant,Female,Black,4.084242135286331,2.95568872243166,5.643704906105995
Pancreas,<75,Localised,Female,Black,42.02924966812134,37.2803121805191,47.38312959671021
Pancreas,<75,Regional,Female,Black,19.29435580968857,16.16822779178619,23.0249211192131
Pancreas,<75,Distant,Male,Black,4.252846539020538,3.043069317936897,5.943573266267776
Pancreas,<75,Localised,Male,Black,40.1299774646759,34.8954975605011,46.14965319633484
Pancreas,<75,Regional,Male,Black,16.07110798358917,13.113833963871,19.69527006149292
Pancreas,<75,Distant,Female,White,5.444367229938507,4.732851311564445,6.262850016355515
Pancreas,<75,Localised,Female,White,48.65597784519196,46.27849757671356,51.15559101104736
Pancreas,<75,Regional,Female,White,21.96443974971771,20.40284723043442,23.64555299282074
Pancreas,<75,Distant,Male,White,5.340181291103363,4.717405885457993,6.045173108577728
Pancreas,<75,Localised,Male,White,48.22802543640137,46.04617059230804,50.51326751708984
Pancreas,<75,Regional,Male,White,19.75446194410324,18.35354417562485,21.2623119354248
Rectum,75+,Distant,Female,Black,9.35080423951149,4.623963683843613,18.909652531147
Rectum,75+,Localised,Female,Black,57.35515952110291,51.20575428009033,64.24305438995361
Rectum,75+,Regional,Female,Black,37.28890419006348,29.7912061214447,46.67358696460724
Rectum,75+,Distant,Male,Black,4.598051682114601,2.413594350218773,8.759583532810211
Rectum,75+,Localised,Male,Black,46.06481194496155,40.58354794979095,52.28638648986816
Rectum,75+,Regional,Male,Black,29.42440509796143,23.71177226305008,36.51332259178162
Rectum,75+,Distant,Female,White,9.995313733816147,7.831408828496933,12.75712847709656
Rectum,75+,Localised,Female,White,54.10464406013489,51.2097179889679,57.16322064399719
Rectum,75+,Regional,Female,White,42.81288087368011,39.91380333900452,45.92252969741821
Rectum,75+,Distant,Male,White,8.042337745428085,6.372502446174622,10.14973148703575
Rectum,75+,Localised,Male,White,45.48958241939545,43.19978952407837,47.90074229240417
Rectum,75+,Regional,Male,White,38.64156007766724,36.27038896083832,41.16774797439575
Rectum,<75,Distant,Female,Black,17.04797893762589,12.9095047712326,22.51314669847488
Rectum,<75,Localised,Female,Black,87.40379214286804,85.02113819122314,89.85321521759033
Rectum,<75,Regional,Female,Black,64.16953206062317,59.53847169876099,69.16080117225647
Rectum,<75,Distant,Male,Black,14.46998566389084,11.28788813948631,18.54912787675858
Rectum,<75,Localised,Male,Black,80.22508025169373,77.35503315925598,83.20161700248718
Rectum,<75,Regional,Male,Black,60.75131297111511,56.88053965568542,64.88549709320068
Rectum,<75,Distant,Female,White,25.23960173130035,23.08282554149628,27.59790420532227
Rectum,<75,Localised,Female,White,87.24189400672913,86.20500564575195,88.29125165939331
Rectum,<75,Regional,Female,White,74.11849498748779,72.62681126594543,75.6408154964447
Rectum,<75,Distant,Male,White,19.36124563217163,17.87611842155457,20.96975743770599
Rectum,<75,Localised,Male,White,78.97838354110718,77.89545655250549,80.07636666297913
Rectum,<75,Regional,Male,White,68.29482316970825,67.07595586776733,69.53583359718323
Uterine corpus,75+,Distant,Female,Black,6.681737303733826,4.503102973103523,9.914411604404449
Uterine corpus,75+,Localised,Female,Black,59.36951041221619,55.89981079101563,63.05456757545471
Uterine corpus,75+,Regional,Female,Black,25.03655850887299,21.02744728326797,29.8100471496582
Uterine corpus,75+,Distant,Female,White,13.51229846477509,11.50598898530006,15.86845070123672
Uterine corpus,75+,Localised,Female,White,67.35048294067383,66.2752091884613,68.44320893287659
Uterine corpus,75+,Regional,Female,White,44.4025456905365,42.20576286315918,46.71367406845093
Uterine corpus,<75,Distant,Female,Black,16.66313707828522,14.23258483409882,19.50876414775848
Uterine corpus,<75,Localised,Female,Black,79.9463152885437,78.46677899360657,81.4537525177002
Uterine corpus,<75,Regional,Female,Black,50.39211511611938,47.54275381565094,53.41224670410156
Uterine corpus,<75,Distant,Female,White,25.91947615146637,24.18941259384155,27.77327597141266
Uterine corpus,<75,Localised,Female,White,87.0502233505249,86.63272857666016,87.46972680091858
Uterine corpus,<75,Regional,Female,White,68.79943609237671,67.56840944290161,70.05288600921631
