site,sex,estimate,agegroup,estimate_percent,lower_percent,upper_percent
Oral_cavity_and_pharynx,Female,tie,1,4.563505575060844,4.07656691968441,5.050444602966309
Oral_cavity_and_pharynx,Female,pm,2,72.703857421875,68.79341125488281,76.61430358886719
Oral_cavity_and_pharynx,Female,tce,2,6.544363498687744,5.648846179246902,7.439880818128586
Oral_cavity_and_pharynx,Female,tde,2,1.786358840763569,1.743104122579098,1.829613372683525
Oral_cavity_and_pharynx,Female,tie,2,4.75800484418869,3.854303434491158,5.661706253886223
Oral_cavity_and_pharynx,Male,pm,1,29.43036651611328,27.96682167053223,30.89391136169434
Oral_cavity_and_pharynx,Male,tce,1,12.88795322179794,12.62271255254745,13.15319389104843
Oral_cavity_and_pharynx,Male,tde,1,9.094981849193573,9.077513962984085,9.112448990345001
Oral_cavity_and_pharynx,Male,tie,1,3.79297211766243,3.526166081428528,4.059777781367302
Oral_cavity_and_pharynx,Male,pm,2,47.1786994934082,44.04658126831055,50.31081771850586
Oral_cavity_and_pharynx,Male,tce,2,8.342859148979187,7.846672087907791,8.839046210050583
Oral_cavity_and_pharynx,Male,tde,2,4.406806826591492,4.376188293099403,4.43742498755455
Oral_cavity_and_pharynx,Male,tie,2,3.936052322387695,3.438487276434898,4.433616995811462
Ovary,Female,pm,1,19.81575202941895,16.05010032653809,23.5814037322998
Ovary,Female,tce,1,7.899064570665359,7.530768215656281,8.267360925674438
Ovary,Female,tde,1,6.333805620670319,6.316901743412018,6.350709497928619
Ovary,Female,tie,1,1.565258949995041,1.192629802972078,1.937888190150261
Ovary,Female,pm,2,3.564209461212158,-5.210709571838379,12.33912754058838
Ovary,Female,tce,2,5.434546619653702,4.94365431368351,5.925438925623894
Ovary,Female,tde,2,5.240847915410995,5.226710438728333,5.254985392093658
Ovary,Female,tie,2,.193698622751981,-.2976048970595002,.6850021425634623
Pancreas,Female,pm,1,2.374207258224487,-8.661608695983887,13.41002368927002
Pancreas,Female,tce,1,2.470552176237106,2.189343050122261,2.751761302351952
Pancreas,Female,tde,1,2.411896176636219,2.399880066514015,2.423912286758423
Pancreas,Female,tie,1,.0586560287047178,-.2173495711758733,.3346616169437766
Pancreas,Female,pm,2,6.351627826690674,-.5381130576133728,13.24136829376221
Pancreas,Female,tce,2,1.306503731757402,1.203811354935169,1.409196201711893
Pancreas,Female,tde,2,1.223519537597895,1.210449635982513,1.236589346081018
Pancreas,Female,tie,2,.0829842523671687,-.0138129107654095,.1797814154997468
Pancreas,Male,pm,1,15.13066577911377,9.342669486999512,20.91866302490234
Pancreas,Male,tce,1,3.157258406281471,2.934116870164871,3.380399569869041
Pancreas,Male,tde,1,2.679544128477573,2.664501965045929,2.694586105644703
Pancreas,Male,tie,1,.4777141846716404,.2617207588627934,.6937076337635517
Pancreas,Male,pm,2,17.71750450134277,9.673539161682129,25.7614688873291
Pancreas,Male,tce,2,1.448286790400743,1.303721964359283,1.592851616442204
Pancreas,Male,tde,2,1.191686559468508,1.177379675209522,1.205993443727493
Pancreas,Male,tie,2,.2566002774983644,.11572299990803,.3974775783717632
Rectum,Female,pm,1,-99.70333862304688,-141.2752838134766,-58.13138580322266
Rectum,Female,tce,1,2.629927173256874,2.14629303663969,3.113561309874058
Rectum,Female,tde,1,5.290204659104347,5.255425348877907,5.324984341859818
Rectum,Female,tie,1,-2.622125297784805,-3.116469085216522,-2.127781324088573
Rectum,Female,pm,2,9.147191047668457,-10.03527164459229,28.32965278625488
Rectum,Female,tce,2,2.241364307701588,1.790151558816433,2.692576870322227
Rectum,Female,tde,2,.6684907712042332,.6281031295657158,.7088783662766218
Rectum,Female,tie,2,.2050218638032675,-.2451657550409436,.6552095059305429
Rectum,Male,pm,1,20.50766563415527,12.20932865142822,28.80600357055664
Rectum,Male,tce,1,4.454697296023369,3.953339532017708,4.95605506002903
Rectum,Male,tde,1,3.541142866015434,3.515661880373955,3.566624224185944
Rectum,Male,tie,1,.9135544300079346,.4103011451661587,1.416807807981968
Rectum,Male,pm,2,38.09270095825195,32.13545608520508,44.04994583129883
Rectum,Male,tce,2,6.067173555493355,5.467399209737778,6.666947901248932
Rectum,Male,tde,2,3.756023198366165,3.708453103899956,3.803593292832375
Rectum,Male,tie,2,2.31115035712719,1.724226400256157,2.898074313998222
